Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,6.71%,6.51%,6.91%,1
2,Northeast,Northeast,6.60%,6.22%,6.99%,2
3,Midwest,Midwest,6.83%,6.53%,7.14%,2
4,South,South,6.62%,6.32%,6.93%,2
5,West,West,6.81%,6.40%,7.25%,2
6,Alabama,Alabama,6.61%,5.61%,7.77%,3
7,Alabama,Region 1,6.84%,5.42%,8.60%,4
8,Alabama,Region 2,6.60%,5.32%,8.17%,4
9,Alabama,Region 3,6.12%,4.83%,7.72%,4
10,Alabama,Region 4,6.70%,5.27%,8.48%,4
11,Alaska,Alaska,6.91%,5.93%,8.04%,3
12,Alaska,Anchorage,7.35%,6.03%,8.94%,4
13,Alaska,Northern,6.44%,5.13%,8.06%,4
14,Alaska,South Central,6.68%,5.33%,8.32%,4
15,Alaska,Southeast,6.73%,5.28%,8.53%,4
16,Arizona,Arizona,7.12%,6.03%,8.38%,3
17,Arizona,Maricopa,7.03%,5.74%,8.58%,4
18,Arizona,Pima,7.51%,5.80%,9.67%,4
19,Arizona,Rural North,7.08%,5.47%,9.14%,4
20,Arizona,Rural South,7.05%,5.46%,9.06%,4
21,Arkansas,Arkansas,7.17%,6.14%,8.36%,3
22,Arkansas,Catchment Area 1,7.10%,5.61%,8.95%,4
23,Arkansas,Catchment Area 2,7.63%,5.96%,9.73%,4
24,Arkansas,Catchment Area 3,7.22%,5.71%,9.10%,4
25,Arkansas,Catchment Area 4,6.89%,5.37%,8.81%,4
26,Arkansas,Catchment Area 5,7.00%,5.50%,8.88%,4
27,Arkansas,Catchment Area 6,7.04%,5.42%,9.09%,4
28,Arkansas,Catchment Area 7,7.05%,5.47%,9.04%,4
29,Arkansas,Catchment Area 8,7.26%,5.74%,9.13%,4
30,California,California,6.46%,5.86%,7.12%,3
31,California,Region 1R,6.89%,5.51%,8.58%,4
32,California,Region 2R,7.21%,5.78%,8.97%,4
33,California,Region 3R (Sacramento),6.69%,5.40%,8.26%,4
34,California,Region 4R,6.35%,5.13%,7.83%,4
35,California,Region 5R (San Francisco),6.75%,5.37%,8.45%,4
36,California,Region 6 (Santa Clara),5.92%,4.73%,7.39%,4
37,California,Region 7R (Contra Costa),6.46%,5.13%,8.11%,4
38,California,Region 8R (Alameda),6.36%,5.13%,7.88%,4
39,California,Region 9R (San Mateo),5.99%,4.78%,7.50%,4
40,California,Region 10,6.46%,5.20%,8.01%,4
41,California,Region 11 (Los Angeles),6.51%,5.77%,7.33%,5
42,California,LA SPA 1 and 5,6.76%,5.44%,8.37%,4
43,California,LA SPA 2,6.50%,5.31%,7.94%,4
44,California,LA SPA 3,6.15%,4.94%,7.64%,4
45,California,LA SPA 4,6.75%,5.42%,8.38%,4
46,California,LA SPA 6,6.26%,5.09%,7.68%,4
47,California,LA SPA 7,6.60%,5.32%,8.18%,4
48,California,LA SPA 8,6.64%,5.31%,8.26%,4
49,California,Region 12R,6.59%,5.27%,8.23%,4
50,California,Regions 13 and 19R,6.30%,5.16%,7.67%,4
51,California,Region 14 (Orange),6.26%,5.15%,7.60%,4
52,California,Region 15R (Fresno),6.43%,5.21%,7.92%,4
53,California,Region 16R (San Diego),6.48%,5.35%,7.82%,4
54,California,Region 17R,6.32%,5.09%,7.82%,4
55,California,Region 18R (San Bernardino),6.43%,5.21%,7.92%,4
56,California,Region 20R,6.58%,5.31%,8.13%,4
57,California,Region 21R,6.86%,5.52%,8.49%,4
58,Colorado,Colorado,6.30%,5.32%,7.44%,3
59,Colorado,Region 1,6.60%,5.18%,8.38%,4
60,Colorado,Regions 2 and 7,6.31%,5.10%,7.80%,4
61,Colorado,Region 3,6.15%,4.84%,7.78%,4
62,Colorado,Region 4,6.16%,4.73%,7.99%,4
63,Colorado,Regions 5 and 6,6.11%,4.71%,7.89%,4
64,Connecticut,Connecticut,6.24%,5.28%,7.37%,3
