Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,3.91%,3.76%,4.06%,1
2,Northeast,Northeast,3.83%,3.56%,4.11%,2
3,Midwest,Midwest,4.04%,3.82%,4.28%,2
4,South,South,3.83%,3.61%,4.05%,2
5,West,West,3.99%,3.71%,4.28%,2
6,Alabama,Alabama,3.74%,3.11%,4.49%,3
7,Alabama,Region 1,3.63%,2.78%,4.74%,4
8,Alabama,Region 2,3.91%,3.00%,5.07%,4
9,Alabama,Region 3,3.66%,2.80%,4.78%,4
10,Alabama,Region 4,3.70%,2.81%,4.86%,4
11,Alaska,Alaska,4.24%,3.57%,5.03%,3
12,Alaska,Anchorage,4.24%,3.34%,5.36%,4
13,Alaska,Northern,4.44%,3.47%,5.66%,4
14,Alaska,South Central,4.08%,3.14%,5.28%,4
15,Alaska,Southeast,4.21%,3.18%,5.56%,4
16,Arizona,Arizona,4.15%,3.44%,5.00%,3
17,Arizona,Maricopa,3.96%,3.10%,5.03%,4
18,Arizona,Pima,4.34%,3.28%,5.72%,4
19,Arizona,Rural North,4.54%,3.36%,6.11%,4
20,Arizona,Rural South,4.44%,3.31%,5.93%,4
21,Arkansas,Arkansas,4.45%,3.75%,5.27%,3
22,Arkansas,Catchment Area 1,4.23%,3.24%,5.51%,4
23,Arkansas,Catchment Area 2,4.97%,3.67%,6.70%,4
24,Arkansas,Catchment Area 3,4.44%,3.33%,5.91%,4
25,Arkansas,Catchment Area 4,4.63%,3.46%,6.16%,4
26,Arkansas,Catchment Area 5,4.46%,3.37%,5.89%,4
27,Arkansas,Catchment Area 6,4.21%,3.13%,5.65%,4
28,Arkansas,Catchment Area 7,4.61%,3.40%,6.23%,4
29,Arkansas,Catchment Area 8,4.24%,3.20%,5.60%,4
30,California,California,3.76%,3.36%,4.22%,3
31,California,Region 1R,4.34%,3.35%,5.61%,4
32,California,Region 2R,4.13%,3.18%,5.35%,4
33,California,Region 3R (Sacramento),4.10%,3.19%,5.26%,4
34,California,Region 4R,3.72%,2.90%,4.75%,4
35,California,Region 5R (San Francisco),4.00%,3.02%,5.29%,4
36,California,Region 6 (Santa Clara),3.41%,2.65%,4.38%,4
37,California,Region 7R (Contra Costa),3.46%,2.70%,4.44%,4
38,California,Region 8R (Alameda),3.80%,2.95%,4.90%,4
39,California,Region 9R (San Mateo),3.41%,2.59%,4.47%,4
40,California,Region 10,3.69%,2.89%,4.71%,4
41,California,Region 11 (Los Angeles),3.67%,3.19%,4.22%,5
42,California,LA SPA 1 and 5,3.90%,3.04%,4.98%,4
43,California,LA SPA 2,3.84%,3.00%,4.90%,4
44,California,LA SPA 3,3.37%,2.64%,4.31%,4
45,California,LA SPA 4,4.08%,3.16%,5.26%,4
46,California,LA SPA 6,3.44%,2.72%,4.34%,4
47,California,LA SPA 7,3.36%,2.64%,4.27%,4
48,California,LA SPA 8,3.69%,2.89%,4.72%,4
49,California,Region 12R,4.22%,3.24%,5.46%,4
50,California,Regions 13 and 19R,3.77%,2.96%,4.80%,4
51,California,Region 14 (Orange),3.50%,2.78%,4.39%,4
52,California,Region 15R (Fresno),4.10%,3.21%,5.23%,4
53,California,Region 16R (San Diego),3.83%,3.07%,4.77%,4
54,California,Region 17R,3.79%,2.97%,4.83%,4
55,California,Region 18R (San Bernardino),3.96%,3.12%,5.02%,4
56,California,Region 20R,3.85%,3.01%,4.92%,4
57,California,Region 21R,3.80%,2.99%,4.82%,4
58,Colorado,Colorado,4.01%,3.34%,4.81%,3
59,Colorado,Region 1,3.89%,2.99%,5.05%,4
60,Colorado,Regions 2 and 7,4.05%,3.18%,5.14%,4
61,Colorado,Region 3,3.89%,3.00%,5.04%,4
62,Colorado,Region 4,4.21%,3.10%,5.71%,4
63,Colorado,Regions 5 and 6,4.04%,3.02%,5.39%,4
64,Connecticut,Connecticut,3.55%,2.96%,4.26%,3
65,Connecticut,Eastern,4.01%,3.09%,5.19%,4
66,Connecticut,North Central,3.59%,2.74%,4.70%,4
67,Connecticut,Northwestern,3.42%,2.55%,4.58%,4
68,Connecticut,South Central,3.61%,2.76%,4.71%,4
69,Connecticut,Southwest,3.23%,2.40%,4.33%,4
70,Delaware,Delaware,3.85%,3.22%,4.60%,3
71,Delaware,Kent,4.16%,3.17%,5.43%,4
72,Delaware,New Castle (excluding Wilmington City),3.83%,3.03%,4.84%,4
73,Delaware,Sussex,3.74%,2.79%,5.00%,4
