Order,State,Substate Region,"Small Area Estimate",95% CI (Lower),95% CI (Upper),Map Group
1,Total United States,Total United States,2.70%,2.60%,2.80%,1
2,Northeast,Northeast,2.81%,2.61%,3.02%,2
3,Midwest,Midwest,2.58%,2.44%,2.74%,2
4,South,South,2.59%,2.45%,2.74%,2
5,West,West,2.89%,2.68%,3.10%,2
6,Alabama,Alabama,2.53%,2.04%,3.12%,3
7,Alabama,Region 1,2.43%,1.80%,3.27%,4
8,Alabama,Region 2,2.58%,1.94%,3.42%,4
9,Alabama,Region 3,2.56%,1.90%,3.45%,4
10,Alabama,Region 4,2.54%,1.86%,3.47%,4
11,Alaska,Alaska,3.06%,2.53%,3.70%,3
12,Alaska,Anchorage,3.24%,2.54%,4.13%,4
13,Alaska,Northern,3.22%,2.40%,4.31%,4
14,Alaska,South Central,2.85%,2.15%,3.77%,4
15,Alaska,Southeast,2.51%,1.81%,3.48%,4
16,Arizona,Arizona,3.03%,2.51%,3.66%,3
17,Arizona,Maricopa,3.11%,2.48%,3.89%,4
18,Arizona,Pima,3.19%,2.36%,4.30%,4
19,Arizona,Rural North,2.66%,1.96%,3.62%,4
20,Arizona,Rural South,2.82%,2.07%,3.83%,4
21,Arkansas,Arkansas,2.67%,2.19%,3.26%,3
22,Arkansas,Catchment Area 1,2.60%,1.96%,3.44%,4
23,Arkansas,Catchment Area 2,2.17%,1.57%,3.00%,4
24,Arkansas,Catchment Area 3,2.71%,1.99%,3.69%,4
25,Arkansas,Catchment Area 4,2.36%,1.72%,3.23%,4
26,Arkansas,Catchment Area 5,2.81%,2.09%,3.77%,4
27,Arkansas,Catchment Area 6,3.23%,2.30%,4.51%,4
28,Arkansas,Catchment Area 7,2.85%,2.06%,3.93%,4
29,Arkansas,Catchment Area 8,2.79%,2.07%,3.76%,4
30,California,California,2.89%,2.59%,3.23%,3
31,California,Region 1R,3.06%,2.30%,4.06%,4
32,California,Region 2R,3.00%,2.29%,3.92%,4
33,California,Region 3R (Sacramento),3.44%,2.65%,4.46%,4
34,California,Region 4R,3.07%,2.38%,3.94%,4
35,California,Region 5R (San Francisco),2.95%,2.14%,4.06%,4
36,California,Region 6 (Santa Clara),2.36%,1.82%,3.05%,4
37,California,Region 7R (Contra Costa),2.76%,2.12%,3.59%,4
38,California,Region 8R (Alameda),2.88%,2.22%,3.73%,4
39,California,Region 9R (San Mateo),2.34%,1.77%,3.08%,4
40,California,Region 10,3.08%,2.38%,3.98%,4
41,California,Region 11 (Los Angeles),2.78%,2.43%,3.19%,5
42,California,LA SPA 1 and 5,3.06%,2.31%,4.06%,4
43,California,LA SPA 2,2.80%,2.19%,3.57%,4
44,California,LA SPA 3,2.40%,1.86%,3.09%,4
45,California,LA SPA 4,2.90%,2.20%,3.82%,4
46,California,LA SPA 6,3.20%,2.44%,4.19%,4
47,California,LA SPA 7,2.61%,2.03%,3.35%,4
48,California,LA SPA 8,2.80%,2.20%,3.58%,4
49,California,Region 12R,2.97%,2.25%,3.90%,4
50,California,Regions 13 and 19R,2.64%,2.05%,3.39%,4
51,California,Region 14 (Orange),2.90%,2.32%,3.62%,4
52,California,Region 15R (Fresno),3.25%,2.49%,4.23%,4
53,California,Region 16R (San Diego),3.00%,2.38%,3.79%,4
54,California,Region 17R,3.16%,2.41%,4.13%,4
55,California,Region 18R (San Bernardino),3.06%,2.42%,3.86%,4
56,California,Region 20R,3.17%,2.45%,4.09%,4
57,California,Region 21R,2.84%,2.14%,3.76%,4
58,Colorado,Colorado,3.11%,2.58%,3.75%,3
59,Colorado,Region 1,3.20%,2.39%,4.28%,4
60,Colorado,Regions 2 and 7,3.24%,2.58%,4.07%,4
61,Colorado,Region 3,3.05%,2.28%,4.07%,4
62,Colorado,Region 4,3.00%,2.17%,4.14%,4
